ID,category,amount,gender,zip,lat,long,city_pop,job,merch_lat,merch_long,is_fraud
56,shopping_net,654.8,F,87116,35.0561,-106.5506,641349,Charity officer,35.312953,-106.679007,0
57,grocery_pos,183.29,F,44233,41.2419,-81.7453,7646,Medical sales representative,42.215781,-82.46551,0
58,food_dining,92.92,F,14816,42.1939,-76.7361,520,Psychotherapist,42.137967,-77.321673,0
59,travel,1.55,F,49895,46.3535,-86.6345,765,Immunologist,46.260381,-86.862101,0
60,kids_pets,47.73,F,31305,31.3826,-81.4312,5989,Tax adviser,30.515356,-81.959927,0
61,kids_pets,126.32,F,12910,44.8816,-73.6408,2148,"Surveyor, land/geomatics",45.016633,-73.194258,0
62,home,27.71,M,7750,40.333,-73.9809,3279,Health promotion specialist,40.491824,-73.068646,0
63,health_fitness,72.97,F,29911,32.9413,-81.1807,1725,Social researcher,32.461358,-81.417211,0
64,kids_pets,225.88,F,79548,33.0771,-99.959,932,"Physicist, medical",33.716484,-99.109562,0
65,shopping_pos,119.71,M,61477,40.4855,-90.2856,631,Futures trader,40.802986,-90.639553,0
66,misc_pos,2.09,M,35131,33.7367,-86.1619,4159,Educational psychologist,33.787861,-86.825622,0
67,misc_net,4.06,F,73669,35.7382,-98.7388,1675,Barrister,35.077859,-97.994601,0
68,kids_pets,22.67,F,76834,31.8287,-99.427,5908,Radio producer,31.813861,-98.710767,0
69,kids_pets,245.99,F,49854,46.0062,-86.2555,6469,Trade mark attorney,46.466296,-86.692786,0
70,shopping_net,9.12,F,13647,44.6087,-74.9732,69,Chief Executive Officer,44.229562,-74.335766,0
71,personal_care,76.59,M,3601,43.196,-72.3001,477,Naval architect,43.636661,-71.683129,0
72,grocery_net,43.42,M,68403,40.9207,-96.168,206,Human resources officer,40.209696,-95.880515,0
73,kids_pets,130.03,F,31305,31.3826,-81.4312,5989,Tax adviser,31.886686,-80.736399,0
74,food_dining,53.69,M,54441,44.6437,-90.1031,828,Arts development officer,45.40961,-89.180681,0
75,health_fitness,37.14,M,21750,39.6991,-78.1762,3766,Press photographer,38.910374,-77.479163,0
76,food_dining,95.27,F,10548,41.2496,-73.9446,3487,Race relations officer,40.896425,-73.937688,0
77,misc_pos,7.1,F,64076,38.9829,-93.9757,9512,Clinical research associate,39.007273,-94.062878,0
78,gas_transport,60.29,F,53153,42.9385,-88.395,2328,Applications developer,42.665144,-88.620875,0
79,misc_net,8.01,M,74555,34.2691,-95.9685,861,Quantity surveyor,34.851703,-96.248834,0
80,kids_pets,4.38,F,15829,41.1762,-79.1976,1274,Maintenance engineer,40.736625,-78.76504,0
81,food_dining,23.54,M,14479,43.2363,-78.3138,275,TEFL teacher,43.740048,-78.705599,0
82,gas_transport,72.41,M,50527,42.9633,-94.7975,223,Estate manager/land agent,43.829555,-94.299851,0
83,kids_pets,82.07,M,87533,35.9866,-106.0654,18408,Historic buildings inspector/conservation officer,35.644169,-105.372103,0
84,entertainment,43.62,M,29455,32.8357,-79.8217,20478,Materials engineer,32.076383,-79.971412,0
85,misc_pos,329.93,F,63867,36.7154,-89.6287,1019,Aeronautical engineer,36.032481,-90.436299,0
86,shopping_pos,8.88,F,13367,43.7893,-75.4156,8830,Theme park manager,43.10179,-75.568111,0
87,personal_care,1.68,F,16114,41.3851,-80.1752,606,Energy manager,41.949679,-79.729402,0
88,grocery_pos,124.54,F,69165,41.1558,-101.136,1789,Insurance broker,40.879488,-100.534243,0
89,personal_care,10.93,F,64114,38.9621,-94.5959,545147,Counsellor,39.226313,-95.033547,0
90,home,70.3,F,92585,33.7467,-117.1721,54287,"Designer, exhibition/display",34.65913,-116.903346,0
91,misc_pos,1.96,M,80014,39.6662,-104.835,389246,"Scientist, marine",40.317007,-104.438775,0
92,grocery_net,47.33,M,5486,44.64,-73.3113,1654,Transport planner,45.634514,-73.21578,0
93,shopping_net,35.37,F,81642,39.3199,-106.6596,61,Public relations account executive,38.912048,-107.296756,0
94,misc_net,2.13,F,31632,30.9416,-83.3574,10295,"Teacher, special educational needs",30.547974,-83.367825,0
95,grocery_pos,219.97,F,85173,33.2887,-111.0985,2872,Petroleum engineer,33.960988,-111.982429,0
96,food_dining,141.46,M,60091,42.0765,-87.7246,27020,Trade mark attorney,41.088753,-87.087591,0
97,gas_transport,67.15,M,77971,28.7724,-96.4793,911,Archaeologist,28.700512,-96.056859,0
98,entertainment,57.64,F,28654,36.0788,-81.1781,3495,"Psychologist, counselling",35.747756,-80.803159,0
99,grocery_pos,86.21,M,22015,38.7894,-77.2818,43102,Health visitor,39.057796,-76.630443,0
100,personal_care,33.41,M,56729,48.6669,-96.5969,140,"Embryologist, clinical",48.22373,-95.839907,0
101,personal_care,23.83,M,30756,34.9298,-84.9885,74,Pensions consultant,34.57463,-83.9916,0
102,health_fitness,1.62,F,12222,42.6853,-73.8253,151022,"Designer, textile",43.618592,-72.985583,0
103,health_fitness,111.47,M,3774,44.0978,-72.0191,1966,Structural engineer,43.708994,-72.459987,0
104,home,34.8,F,15486,40.0246,-79.6955,2303,Physiotherapist,39.098702,-79.725395,0
105,gas_transport,56.84,F,22810,38.8089,-78.7776,863,"Engineer, mining",37.856854,-77.87973,0
106,home,76.58,M,97813,45.8289,-118.4971,1302,Dealer,46.14424,-119.029709,0
107,health_fitness,93.8,M,10604,41.0592,-73.7395,11250,Lexicographer,41.363488,-73.265405,0
108,shopping_net,4.98,M,61335,41.173,-89.2187,532,Audiological scientist,42.056757,-88.841249,0
109,food_dining,87.2,F,24070,37.3696,-80.1284,1363,Equality and diversity officer,37.705488,-80.120827,0
110,shopping_pos,8.56,M,22824,38.8432,-78.6003,6018,"Designer, multimedia",39.038569,-78.266557,0
111,kids_pets,36.64,M,14522,43.0622,-77.2218,9565,Exhibition designer,42.783312,-77.967899,0
112,grocery_net,70.18,F,75092,33.6372,-96.6184,46563,Systems developer,33.177813,-96.978246,0
113,grocery_pos,113.03,M,36775,32.2844,-86.992,800,Learning disability nurse,32.88484,-86.696101,0
114,travel,469.39,M,62571,39.39,-88.9597,1532,Radio broadcast assistant,39.868949,-88.574073,0
115,grocery_pos,153.14,F,79759,31.8599,-102.7413,23,Cytogeneticist,31.764273,-102.160169,0
116,home,28.79,M,19017,39.8839,-75.4669,348,Management consultant,39.152942,-75.346361,0
117,entertainment,22.21,M,95827,38.5662,-121.3286,757530,Magazine features editor,38.362363,-121.360479,0
118,food_dining,54.99,M,82514,43.0048,-108.8964,1645,Freight forwarder,42.71551,-109.517415,0
119,gas_transport,38.17,F,30426,33.0437,-81.7106,1100,"Conservator, museum/gallery",32.514938,-82.224823,0
120,misc_net,22.17,F,39073,32.153,-90.1217,19685,Fine artist,32.405716,-89.36213,0
121,shopping_net,216.47,M,60091,42.0765,-87.7246,27020,Trade mark attorney,42.525079,-87.925659,0
122,grocery_pos,86.87,F,69165,41.1558,-101.136,1789,Insurance broker,40.387469,-101.936719,0
123,shopping_pos,2.42,F,27837,35.558,-77.2566,5903,Manufacturing systems engineer,35.228529,-78.110069,0
124,gas_transport,46.46,F,3816,43.6849,-71.2551,1368,"Optician, dispensing",44.332089,-71.487578,0
125,kids_pets,99.92,M,67584,38.6411,-100.138,269,Product/process development scientist,38.77713,-100.72816,0
126,personal_care,2.43,F,52535,40.8626,-91.9534,888,Camera operator,41.488473,-91.755794,0
127,grocery_pos,86.6,F,36009,31.571,-86.2743,2566,Exercise physiologist,31.964839,-87.001586,0
128,entertainment,31.35,M,87035,34.9889,-106.0609,7268,"Therapist, art",35.262212,-105.539061,0
129,home,64.56,M,57756,43.3526,-102.5411,1126,Volunteer coordinator,44.231311,-102.805907,0
130,health_fitness,14.89,M,62424,39.0319,-88.4074,2092,"Psychologist, clinical",39.424816,-87.681444,0
131,gas_transport,76.32,F,64470,40.1362,-95.2138,1631,Architect,40.423991,-94.751707,0
132,misc_net,10.84,F,77026,29.7972,-95.3288,2906700,Animator,30.553688,-94.696251,0
133,shopping_pos,317.22,F,44233,41.2419,-81.7453,7646,Medical sales representative,41.810766,-81.512204,0
134,misc_net,19.89,F,69165,41.1558,-101.136,1789,Insurance broker,41.86965,-101.000042,0
135,shopping_net,25.23,F,72011,34.5091,-92.4828,4074,"Scientist, audiological",34.233281,-92.023129,0
136,health_fitness,47.44,F,33510,27.9551,-82.2966,79613,Environmental consultant,27.184874,-82.345712,0
137,kids_pets,57.75,F,75452,33.4044,-96.2238,4090,Sub,33.3853,-96.936278,0
138,gas_transport,89.43,F,76665,31.929,-97.6443,2526,Phytotherapist,32.820902,-97.254567,0
139,personal_care,75.29,M,59014,45.2857,-108.9082,1446,Chartered loss adjuster,45.101436,-109.543651,0
140,shopping_pos,1.13,M,49440,43.2326,-86.2492,128715,Historic buildings inspector/conservation officer,42.26206,-86.55542,0
141,grocery_pos,48.22,M,40077,38.4921,-85.4524,564,Pensions consultant,38.587236,-85.896901,0
142,shopping_net,1.79,F,58569,46.1838,-101.2589,77,Film/video editor,45.593112,-101.808655,0
143,entertainment,84.57,F,60958,41.0646,-87.5917,2135,"Psychotherapist, child",42.049039,-88.137354,0
144,shopping_pos,7.29,F,73559,34.7032,-98.9591,540,Research scientist (life sciences),34.772093,-98.583282,0
145,health_fitness,177.21,F,76665,31.929,-97.6443,2526,Phytotherapist,31.958849,-97.098338,0
146,shopping_pos,1.28,M,37849,36.0435,-84.04,25459,"Teacher, special educational needs",36.244617,-83.096915,0
147,food_dining,161.82,M,22015,38.7894,-77.2818,43102,Health visitor,38.117547,-77.751365,0
148,kids_pets,75.35,F,73564,34.847,-98.9836,551,Amenity horticulturist,34.216788,-99.0385,0
149,shopping_net,100.46,M,15077,40.6025,-80.3863,198,Secretary/administrator,41.281754,-80.044716,0
150,travel,252.74,M,51632,40.7491,-95.038,7297,IT trainer,40.738395,-94.556487,0
151,grocery_pos,27.88,M,1844,42.728,-71.181,47249,Market researcher,42.959562,-71.223363,0
152,shopping_net,49.77,M,37132,35.8596,-86.421,158701,"Journalist, newspaper",35.24159,-86.471763,0
153,shopping_net,15.11,M,68641,41.6964,-96.9858,1063,Research scientist (maths),41.392917,-96.313731,0
154,grocery_pos,101.7,M,3601,43.196,-72.3001,477,Naval architect,43.522594,-71.554333,0
155,food_dining,56.23,M,82514,43.0048,-108.8964,1645,Freight forwarder,43.30773,-108.149737,0
156,shopping_net,7.77,F,50312,41.5855,-93.6719,222785,Wellsite geologist,41.874421,-92.991508,0
157,home,10.47,M,46723,41.229,-85.3244,7692,"Research officer, trade union",41.611661,-85.562732,0
158,gas_transport,68.63,F,25106,38.8265,-82.1364,642,Building services engineer,39.793886,-82.042669,0
159,gas_transport,103.1,F,31563,31.6489,-82.1982,1324,"Engineer, technical sales",31.801886,-82.805127,0
160,kids_pets,66.44,M,97210,45.5303,-122.7033,841711,"Engineer, building services",46.311404,-122.611894,0
161,gas_transport,67.12,M,21619,38.9583,-76.2842,5848,Paediatric nurse,38.738087,-75.341931,0
162,grocery_net,95.98,M,22968,38.2586,-78.4074,9815,"Designer, ceramics/pottery",38.45337,-78.17285,0
163,entertainment,33.61,F,16839,41.0036,-78.1104,489,Pension scheme manager,41.745619,-78.364066,0
164,grocery_pos,221.12,F,6365,41.5224,-71.9934,4720,Broadcast presenter,41.798133,-72.45106,0
165,gas_transport,65.39,F,65072,38.2911,-92.7059,1847,Tax inspector,38.944825,-92.232894,0
166,shopping_pos,198.13,F,44233,41.2419,-81.7453,7646,Medical sales representative,40.943683,-82.56555,0
167,personal_care,2.06,F,83646,43.6498,-116.4306,84106,Intelligence analyst,43.714433,-116.903315,0
168,shopping_pos,5.69,M,84532,38.5677,-109.5271,9772,Location manager,38.723616,-109.79386,0
169,shopping_pos,9.64,M,53061,43.9446,-88.0911,5196,Child psychotherapist,44.364981,-88.386329,0
170,shopping_net,27.83,F,63336,39.3465,-90.9362,1146,Exercise physiologist,39.684012,-91.531356,0
171,health_fitness,52.77,F,21872,38.4121,-75.2811,718,Regulatory affairs officer,39.245224,-74.568836,0
172,grocery_pos,211.79,F,31605,30.946,-83.2474,94325,Educational psychologist,31.89391,-83.713122,0
173,grocery_pos,149.21,M,56019,44.1111,-94.9134,914,Health and safety adviser,43.29447,-94.32005,0
174,shopping_net,3.84,F,70774,30.2385,-90.8435,10076,"Surveyor, rural practice",29.396866,-90.886679,0
175,entertainment,69.86,M,7640,40.9918,-73.98,4664,"Radiographer, diagnostic",41.127519,-74.238296,0
176,food_dining,2.99,F,51521,41.4768,-95.3509,2036,Engineering geologist,41.257145,-95.152747,0
177,home,113.03,F,64076,38.9829,-93.9757,9512,Clinical research associate,38.889163,-93.440296,0
178,food_dining,4.54,F,82514,43.0048,-108.8964,1645,Information systems manager,43.255903,-109.744092,0
179,grocery_pos,126.49,M,35651,34.4793,-87.4769,1312,"Librarian, academic",33.658194,-87.044935,0
180,personal_care,8.33,F,45622,39.3543,-82.503,321,"Copywriter, advertising",40.04298,-81.946697,0
181,home,156.36,M,55001,44.8696,-92.8234,2916,Barrister's clerk,45.398451,-91.896049,0
182,misc_net,3.13,F,29032,34.3424,-80.5,4424,Lawyer,34.959755,-80.87939,0
183,grocery_pos,129.95,M,39665,31.6453,-90.1801,1196,"Librarian, academic",32.271491,-91.09507,0
184,gas_transport,60.64,M,4210,44.0948,-70.239,23045,Tourist information centre manager,44.751277,-69.683434,0
185,grocery_pos,191.84,F,85020,33.5623,-112.0559,1312922,Contractor,33.769865,-112.618955,0
186,food_dining,137.3,F,88355,33.3305,-105.6933,8874,Licensed conveyancer,32.75481,-105.191079,0
187,grocery_pos,85.61,F,97377,44.453,-123.1065,917,Radio broadcast assistant,44.782309,-123.745338,0
188,personal_care,109.02,F,25442,39.3716,-77.8229,1925,Systems developer,40.232825,-77.597727,0
189,health_fitness,53.14,M,76248,32.9276,-97.2489,95035,Probation officer,32.053983,-97.039709,0
190,grocery_pos,36.99,M,90650,33.9056,-118.0818,105549,Firefighter,34.649477,-117.521549,0
191,kids_pets,42.08,F,82063,41.0539,-106.0763,100,Public librarian,41.34513,-106.896365,0
192,home,83.87,F,15486,40.0246,-79.6955,2303,Physiotherapist,40.501497,-79.957178,0
193,travel,9.53,F,37165,36.2835,-87.4581,70,Prison officer,36.012164,-88.182344,0
194,gas_transport,49.98,F,47451,38.8938,-86.5246,1228,Counsellor,39.262745,-85.962742,0
195,gas_transport,57.2,M,78040,27.5155,-99.4986,248858,Video editor,26.747656,-99.802924,0
196,kids_pets,55.71,F,68950,40.4542,-98.6538,331,Telecommunications researcher,40.812068,-99.458884,0
197,kids_pets,37.96,M,74047,35.8896,-96.0887,7163,Fitness centre manager,36.50478,-96.156586,0
198,health_fitness,28.87,M,46765,41.2249,-85.0301,5341,Biomedical engineer,41.633997,-84.722003,0
199,food_dining,58.04,M,31630,31,-82.8555,419,Advertising account executive,30.70835,-82.252319,0
200,gas_transport,43.94,F,32323,29.8826,-84.5964,217,Television production assistant,30.415318,-84.114657,0
201,entertainment,19.76,M,68641,41.6964,-96.9858,1063,Research scientist (maths),40.974414,-96.397456,0
202,gas_transport,73.23,F,63867,36.7154,-89.6287,1019,Aeronautical engineer,36.875632,-90.025127,0
203,misc_net,13.2,F,35581,34.347,-87.7154,5778,"Engineer, aeronautical",33.924686,-87.900127,0
204,health_fitness,23.74,F,33967,26.4722,-81.8122,224256,Paramedic,25.864444,-81.186188,0
205,home,97.44,M,15324,40.1008,-80.0652,632,Dealer,39.689436,-79.895209,0
206,gas_transport,75.85,M,64017,39.2048,-94.0259,464,Colour technologist,38.245894,-94.621138,0
207,shopping_net,71.51,M,54229,44.5592,-87.8235,4306,Art therapist,43.740806,-88.664904,0
208,home,66.17,M,92101,32.7185,-117.1593,1241364,Comptroller,31.993845,-116.378832,0
209,gas_transport,73.02,M,14778,42.2701,-78.6847,1453,Toxicologist,42.971013,-78.567143,0
210,shopping_pos,17.26,F,99160,48.8878,-118.2105,149,Special educational needs teacher,48.873515,-117.359697,0
211,travel,6.11,M,30756,34.9298,-84.9885,74,Pensions consultant,34.194807,-85.329899,0
212,home,57.11,M,32935,28.1384,-80.6524,139650,Database administrator,28.069282,-81.291048,0
213,kids_pets,164.75,F,56549,46.9777,-96.4092,4508,Naval architect,47.768879,-97.236627,0
214,home,30.63,F,25526,38.4257,-81.9943,21902,Sub,37.9469,-82.703381,0
215,gas_transport,79.77,F,15920,40.4603,-79.0097,922,Early years teacher,40.694374,-78.68224,0
216,personal_care,61.33,F,54487,45.4963,-89.7273,9594,Seismic interpreter,45.672737,-90.353138,0
217,kids_pets,9.22,F,12986,44.232,-74.4905,6120,Chartered loss adjuster,43.676104,-75.447496,0
218,shopping_pos,9.19,F,62262,38.9311,-89.2463,1810,Race relations officer,37.999457,-89.970946,0
219,gas_transport,81.47,M,83120,43.0172,-111.0292,471,"Education officer, museum",42.346325,-110.340763,0
220,gas_transport,38.19,F,99113,46.5901,-117.1692,761,Chief Marketing Officer,47.035961,-116.990797,0
221,kids_pets,1.71,F,57374,43.7557,-97.5936,343,"Development worker, international aid",44.063358,-98.286726,0
222,food_dining,23.25,M,62360,39.8153,-91.2627,1656,Exhibition designer,39.308531,-92.197902,0
223,misc_net,8.93,M,76366,33.6751,-98.6576,2317,Chief Technology Officer,32.878269,-97.719086,0
224,grocery_pos,111.03,F,74536,34.5906,-95.38,1760,Occupational psychologist,33.984775,-95.331986,0
225,grocery_pos,96.35,F,21102,39.6747,-76.8941,11751,Clinical research associate,40.053314,-77.299824,0
226,shopping_pos,3.32,F,24986,37.7827,-80.3129,5216,Community development worker,36.847274,-80.735525,0
227,grocery_net,66.41,M,55046,44.4477,-93.4252,5211,Chief Strategy Officer,44.438245,-94.014747,0
228,shopping_pos,37.05,F,33470,26.7383,-80.276,26551,Paramedic,27.32658,-80.260852,0
229,gas_transport,62.27,F,82063,41.0539,-106.0763,100,Public librarian,40.253384,-106.219565,0
230,home,57.07,F,58579,47.1709,-100.7944,1190,"Designer, ceramics/pottery",46.250033,-100.807488,0
231,misc_net,42.56,F,98027,47.4974,-122.0107,50489,Osteopath,48.189985,-121.75645,0
232,grocery_net,96.85,M,66070,39.2136,-95.4404,2661,Theatre director,38.357308,-94.72705,0
233,shopping_net,206.06,F,67545,38.1485,-98.6408,215,Probation officer,39.029912,-99.001658,0
234,grocery_pos,95.23,F,6024,42.0158,-73.2913,647,Comptroller,42.404273,-73.946399,0
235,shopping_pos,129.31,M,19456,40.1334,-75.4536,737,Oceanographer,40.131513,-76.356987,0
236,misc_pos,426.41,F,56592,47.5375,-95.9941,516,Applications developer,48.312319,-95.686023,0
237,shopping_pos,69.92,M,97210,45.5303,-122.7033,841711,"Engineer, building services",45.616203,-123.007048,0
238,home,47.12,M,48088,42.5164,-82.9832,134056,"Doctor, hospital",43.179142,-82.327754,0
239,personal_care,5.98,M,76443,32.1482,-99.1872,1897,Chief Operating Officer,32.923733,-98.347452,0
240,entertainment,3.51,F,15829,41.1762,-79.1976,1274,Maintenance engineer,41.802264,-78.913648,0
241,home,73.13,M,68438,40.6267,-96.7456,142,Chiropodist,40.983005,-97.107245,0
242,home,14.73,M,76366,33.6751,-98.6576,2317,Chief Technology Officer,32.929116,-99.171039,0
243,travel,8.64,F,99160,48.8878,-118.2105,149,Special educational needs teacher,49.870232,-118.868011,0
244,grocery_net,41.77,M,30803,33.141,-82.515,741,Claims inspector/assessor,32.925786,-82.921955,0
245,personal_care,7.33,F,72042,34.2853,-91.3336,5161,Electrical engineer,34.977556,-90.897337,0
246,home,23.99,M,90650,33.9056,-118.0818,105549,Firefighter,34.39055,-118.949084,0
247,shopping_pos,9.78,F,19149,40.0369,-75.0664,1526206,Structural engineer,40.483094,-74.332691,0
248,grocery_net,62.76,F,56546,47.0999,-96.727,346,"Research officer, trade union",47.593078,-95.838891,0
249,travel,4.37,F,70808,30.4066,-91.1468,378909,"Designer, furniture",30.682463,-91.011016,0
250,shopping_pos,5.1,F,85020,33.5623,-112.0559,1312922,Contractor,32.895458,-112.819131,0
251,shopping_pos,3.65,M,27311,36.4899,-79.4736,3402,Insurance underwriter,35.53388,-79.671643,0
252,entertainment,115.93,F,69165,41.1558,-101.136,1789,Insurance broker,41.725864,-102.058609,0
253,grocery_pos,86.57,M,44223,41.1464,-81.5107,47772,Equities trader,40.872006,-82.28375,0
254,misc_net,6.04,M,20895,39.0298,-77.0793,19054,Operations geologist,39.300454,-77.854988,0
255,personal_care,22.31,F,15920,40.4603,-79.0097,922,Early years teacher,41.297874,-79.033845,0
256,gas_transport,60.33,M,46290,39.9347,-86.1633,910148,Academic librarian,40.028946,-86.137153,0
257,travel,8.1,F,67038,37.1641,-96.6917,602,"Buyer, industrial",37.57872,-97.447339,0
258,kids_pets,30.47,F,96103,39.8127,-120.6405,1725,Chartered legal executive (England and Wales),40.146717,-120.56413,0
259,misc_net,162.32,M,52572,40.6866,-92.6833,1132,Probation officer,40.606714,-93.015595,0
260,grocery_pos,98.71,M,82711,44.6873,-104.4414,110,"Administrator, local government",44.190057,-103.491279,0
261,kids_pets,110.61,M,7640,40.9918,-73.98,4664,"Radiographer, diagnostic",40.52063,-73.45173,0
262,misc_pos,3.96,F,58651,46.1664,-103.7079,475,Illustrator,46.641906,-104.366768,0
263,shopping_net,383.47,F,96103,39.8127,-120.6405,1725,Chartered legal executive (England and Wales),38.880075,-120.076543,0
264,grocery_pos,136.31,M,21524,39.6967,-78.8031,626,Energy engineer,40.377523,-79.142364,0
265,gas_transport,77.52,M,7005,40.9115,-74.414,15269,"Psychologist, sport and exercise",39.923635,-75.31586,0
266,home,50.09,F,66018,38.9462,-94.9714,5760,Chief Executive Officer,38.444913,-94.304115,0
267,entertainment,116.25,F,37932,35.9335,-84.1481,391389,"Designer, industrial/product",35.393444,-83.882827,0
268,travel,298.82,F,27249,36.1183,-79.5685,12486,Arboriculturist,36.8993,-80.2057,0
269,entertainment,5.03,M,80736,40.7692,-103.0968,648,Community arts worker,41.3984,-102.65172,0
270,gas_transport,55.04,M,20895,39.0298,-77.0793,19054,Operations geologist,39.696095,-77.771473,0
271,entertainment,6.05,M,73034,35.6665,-97.4798,116001,Media buyer,35.701684,-96.968137,0
